Date,Crop_Product,Category,Quantity_Sold_Demanded_kg,Price_per_kg_INR,Location,State,Season_Month,Weather_Festival_Info
2024-01-13,Cluster Beans,Vegetable,108,50.4,Guwahati,Assam,Winter (January),Cold
2023-05-27,Cabbage,Vegetable,362,25.97,Mumbai,Maharashtra,Summer (May),Hot
2024-02-09,Orange,Fruit,401,60.14,Chandigarh,Punjab,Winter (February),Cold
2023-05-02,Strawberry,Fruit,121,136.96,Hyderabad,Telangana,Summer (May),Hot
2024-11-24,Garlic,Vegetable,266,82.43,Chennai,Tamil Nadu,Autumn (November),Mild
2024-06-19,Papaya,Fruit,411,25.12,Hyderabad,Telangana,Monsoon (June),Rainy
2023-05-09,Mango,Fruit,390,67.29,Guwahati,Assam,Summer (May),Hot
2024-12-21,Carrot,Vegetable,359,31.45,Kochi,Kerala,Winter (December),Cold
2023-12-15,Garlic,Vegetable,260,78.23,Chennai,Tamil Nadu,Winter (December),Cold
2024-05-16,Radish,Vegetable,193,18.72,Lucknow,Uttar Pradesh,Summer (May),Hot
2024-12-06,Sweet Potato,Vegetable,314,19.51,Lucknow,Uttar Pradesh,Winter (December),Cold
2024-11-04,Orange,Fruit,502,75.0,Mumbai,Maharashtra,Autumn (November),Mild
2023-11-19,Strawberry,Fruit,113,121.32,Guwahati,Assam,Autumn (November),Mild
2024-02-20,Pumpkin,Vegetable,170,26.02,Guwahati,Assam,Winter (February),Cold
2024-07-18,Litchi,Fruit,265,104.96,Mumbai,Maharashtra,Monsoon (July),Rainy
2023-09-02,Tomato,Vegetable,839,30.0,Mumbai,Maharashtra,Monsoon (September),Rainy
2023-11-27,Banana,Fruit,255,50.77,Bhopal,Madhya Pradesh,Autumn (November),Mild
2023-08-30,Bottle Gourd,Vegetable,330,19.65,Kolkata,West Bengal,Monsoon (August),Rainy
2024-01-31,Spinach,Vegetable,322,16.15,Jaipur,Rajasthan,Winter (January),Cold
2023-09-10,Okra,Vegetable,341,30.32,Bhopal,Madhya Pradesh,Monsoon (September),Rainy
2023-07-24,Okra,Vegetable,485,35.33,Bangalore,Karnataka,Monsoon (July),Rainy
2023-03-01,Cauliflower,Vegetable,376,21.43,Jaipur,Rajasthan,Summer (March),Hot
2023-01-17,Ginger,Vegetable,190,85.66,Chennai,Tamil Nadu,Winter (January),Cold
2023-08-20,Onion,Vegetable,438,42.84,Chandigarh,Punjab,Monsoon (August),Rainy
2023-11-14,Strawberry,Fruit,131,99.84,Lucknow,Uttar Pradesh,Autumn (November),Mild
2023-02-22,Cabbage,Vegetable,436,16.83,Hyderabad,Telangana,Winter (February),Cold
2023-03-28,Cluster Beans,Vegetable,226,48.62,Mumbai,Maharashtra,Summer (March),Hot
2023-05-09,French Beans,Vegetable,154,53.98,Hyderabad,Telangana,Summer (May),Hot
2023-06-01,Papaya,Fruit,212,25.47,Shimla,Himachal Pradesh,Monsoon (June),Rainy
2024-08-31,Carrot,Vegetable,248,39.87,Jaipur,Rajasthan,Monsoon (August),Rainy
2024-01-18,Cluster Beans,Vegetable,167,50.36,Delhi,Delhi,Winter (January),Cold
2023-12-23,Banana,Fruit,335,63.55,Kochi,Kerala,Winter (December),Cold
2023-11-21,Sweet Potato,Vegetable,387,23.61,Chennai,Tamil Nadu,Autumn (November),Mild
2024-04-14,Watermelon,Fruit,315,17.35,Shimla,Himachal Pradesh,Summer (April),Hot
2024-12-13,Pumpkin,Vegetable,399,20.94,Delhi,Delhi,Winter (December),Cold
2023-07-22,Potato,Vegetable,557,28.48,Kolkata,West Bengal,Monsoon (July),Rainy
2023-06-20,Bitter Gourd,Vegetable,241,31.45,Kochi,Kerala,Monsoon (June),Rainy
2023-02-03,Grapes,Fruit,378,69.31,Kolkata,West Bengal,Winter (February),Cold
2024-02-17,French Beans,Vegetable,156,48.35,Guwahati,Assam,Winter (February),Cold
2023-01-19,Garlic,Vegetable,257,79.25,Bangalore,Karnataka,Winter (January),Cold
2024-12-27,Cucumber,Vegetable,282,28.6,Jaipur,Rajasthan,Winter (December),Cold
2024-07-06,Okra,Vegetable,500,30.46,Ahmedabad,Gujarat,Monsoon (July),Rainy
2023-05-06,Capsicum,Vegetable,192,65.93,Bangalore,Karnataka,Summer (May),Hot
2023-03-03,Garlic,Vegetable,228,73.7,Ahmedabad,Gujarat,Summer (March),Hot
2024-09-20,Grapes,Fruit,196,82.82,Bhopal,Madhya Pradesh,Monsoon (September),Rainy
2024-08-25,Orange,Fruit,306,76.7,Kolkata,West Bengal,Monsoon (August),Rainy
2023-01-24,Bitter Gourd,Vegetable,119,35.58,Bhopal,Madhya Pradesh,Winter (January),Cold
2024-10-10,Watermelon,Fruit,283,25.69,Kochi,Kerala,Autumn (October),Mild
2024-02-21,Spinach,Vegetable,326,15.95,Ahmedabad,Gujarat,Winter (February),Cold
2023-01-11,Green Chilli,Vegetable,105,54.0,Jaipur,Rajasthan,Winter (January),Cold
2024-08-08,Beetroot,Vegetable,207,40.84,Mumbai,Maharashtra,Monsoon (August),Rainy
2024-05-26,Bottle Gourd,Vegetable,304,21.78,Chandigarh,Punjab,Summer (May),Hot
2023-10-04,Cluster Beans,Vegetable,159,32.92,Bhopal,Madhya Pradesh,Autumn (October),Mild
2023-03-21,Tomato,Vegetable,572,37.24,Mumbai,Maharashtra,Summer (March),Hot
2023-01-29,Banana,Fruit,247,55.14,Shimla,Himachal Pradesh,Winter (January),Cold
2023-07-04,Ginger,Vegetable,170,78.28,Kolkata,West Bengal,Monsoon (July),Rainy
2023-04-18,Banana,Fruit,514,43.11,Chandigarh,Punjab,Summer (April),Hot
2023-12-02,Coconut,Fruit,340,40.53,Chennai,Tamil Nadu,Winter (December),Cold
2023-06-28,Peas,Vegetable,202,67.94,Kolkata,West Bengal,Monsoon (June),Rainy
2024-08-09,Radish,Vegetable,200,24.83,Chennai,Tamil Nadu,Monsoon (August),Rainy
2023-12-17,Custard Apple,Fruit,173,70.06,Lucknow,Uttar Pradesh,Winter (December),Cold
2024-11-30,Spinach,Vegetable,295,18.0,Chandigarh,Punjab,Autumn (November),Mild
2024-03-06,Ginger,Vegetable,103,79.0,Bhopal,Madhya Pradesh,Summer (March),Hot
2024-06-27,Okra,Vegetable,372,25.84,Patna,Bihar,Monsoon (June),Rainy
2024-12-16,Tomato,Vegetable,329,37.16,Chandigarh,Punjab,Winter (December),Cold
2023-09-12,Brinjal,Vegetable,305,22.89,Bhopal,Madhya Pradesh,Monsoon (September),Rainy
2023-04-24,Banana,Fruit,663,42.68,Chennai,Tamil Nadu,Summer (April),Hot
2024-01-15,Capsicum,Vegetable,234,50.2,Kochi,Kerala,Winter (January),Cold
2024-06-27,Potato,Vegetable,526,28.26,Kolkata,West Bengal,Monsoon (June),Rainy
2024-01-29,Potato,Vegetable,768,16.12,Patna,Bihar,Winter (January),Cold
2023-01-22,Orange,Fruit,515,53.3,Ahmedabad,Gujarat,Winter (January),Cold
2023-02-27,Bottle Gourd,Vegetable,194,23.29,Lucknow,Uttar Pradesh,Winter (February),Cold
2024-03-18,Strawberry,Fruit,151,117.85,Hyderabad,Telangana,Summer (March),Hot
2023-12-02,Garlic,Vegetable,178,80.77,Guwahati,Assam,Winter (December),Cold
2024-02-12,Capsicum,Vegetable,251,50.3,Hyderabad,Telangana,Winter (February),Cold
2024-07-17,Custard Apple,Fruit,177,92.79,Chennai,Tamil Nadu,Monsoon (July),Rainy
2024-10-23,Muskmelon,Fruit,183,33.25,Patna,Bihar,Autumn (October),Mild
2024-08-29,Tomato,Vegetable,513,20.69,Patna,Bihar,Monsoon (August),Rainy
2024-07-17,Tomato,Vegetable,487,25.21,Guwahati,Assam,Monsoon (July),Rainy
2024-03-30,Orange,Fruit,430,62.83,Ahmedabad,Gujarat,Summer (March),Hot
2024-03-02,Orange,Fruit,502,60.34,Hyderabad,Telangana,Summer (March),Hot
2023-09-05,Cucumber,Vegetable,304,22.8,Lucknow,Uttar Pradesh,Monsoon (September),Rainy
2024-02-01,Pumpkin,Vegetable,138,24.72,Shimla,Himachal Pradesh,Winter (February),Cold
2023-06-15,Cucumber,Vegetable,249,21.73,Shimla,Himachal Pradesh,Monsoon (June),Rainy
2024-08-29,Green Chilli,Vegetable,136,40.73,Guwahati,Assam,Monsoon (August),Rainy
2024-04-12,Pomegranate,Fruit,155,115.2,Patna,Bihar,Summer (April),Hot
2024-07-10,Orange,Fruit,233,71.35,Lucknow,Uttar Pradesh,Monsoon (July),Rainy
2023-11-16,Garlic,Vegetable,166,68.66,Bhopal,Madhya Pradesh,Autumn (November),Mild
2023-04-26,Grapes,Fruit,279,88.36,Ahmedabad,Gujarat,Summer (April),Hot
2023-07-01,Green Chilli,Vegetable,188,39.85,Kochi,Kerala,Monsoon (July),Rainy
2024-10-25,Onion,Vegetable,726,35.46,Chennai,Tamil Nadu,Autumn (October),Mild
2023-02-03,Pumpkin,Vegetable,322,27.23,Mumbai,Maharashtra,Winter (February),Cold
2023-01-10,Apple,Fruit,492,142.5,Mumbai,Maharashtra,Winter (January),Cold
2024-04-29,Sapota,Fruit,182,40.15,Bhopal,Madhya Pradesh,Summer (April),Hot
2023-04-05,Muskmelon,Fruit,480,34.03,Mumbai,Maharashtra,Summer (April),Hot
2024-02-22,Orange,Fruit,368,47.11,Patna,Bihar,Winter (February),Cold
2023-04-05,Green Chilli,Vegetable,107,48.67,Guwahati,Assam,Summer (April),Hot
2024-09-22,Bottle Gourd,Vegetable,341,24.6,Bangalore,Karnataka,Monsoon (September),Rainy
2024-05-16,Coconut,Fruit,169,45.73,Guwahati,Assam,Summer (May),Hot
2024-06-30,French Beans,Vegetable,165,43.29,Lucknow,Uttar Pradesh,Monsoon (June),Rainy
2024-08-13,Spinach,Vegetable,211,24.7,Chennai,Tamil Nadu,Monsoon (August),Rainy
2023-11-14,Sweet Potato,Vegetable,355,21.29,Ahmedabad,Gujarat,Autumn (November),Mild
2023-05-15,Watermelon,Fruit,682,16.8,Delhi,Delhi,Summer (May),Hot
2023-03-06,Sapota,Fruit,229,32.47,Patna,Bihar,Summer (March),Hot
2023-12-12,Coconut,Fruit,273,37.97,Kolkata,West Bengal,Winter (December),Cold
2024-04-22,Mango,Fruit,537,61.88,Ahmedabad,Gujarat,Summer (April),Hot
2024-01-16,Beetroot,Vegetable,257,25.2,Chandigarh,Punjab,Winter (January),Cold
2024-10-07,Grapes,Fruit,349,106.25,Mumbai,Maharashtra,Autumn (October),Mild
2023-01-04,Coconut,Fruit,242,40.9,Kolkata,West Bengal,Winter (January),Cold
2023-09-07,Corn,Vegetable,439,21.48,Jaipur,Rajasthan,Monsoon (September),Rainy | Ganesh Chaturthi
2023-03-17,Cabbage,Vegetable,368,18.01,Jaipur,Rajasthan,Summer (March),Hot
2023-12-26,Bitter Gourd,Vegetable,157,39.6,Ahmedabad,Gujarat,Winter (December),Cold
2023-10-29,Sweet Potato,Vegetable,417,23.67,Chennai,Tamil Nadu,Autumn (October),Mild
2024-02-29,Ginger,Vegetable,139,87.31,Kolkata,West Bengal,Winter (February),Cold
2024-01-13,Corn,Vegetable,215,30.84,Chandigarh,Punjab,Winter (January),Cold
2024-03-02,Watermelon,Fruit,520,17.83,Ahmedabad,Gujarat,Summer (March),Hot
2024-07-19,Sweet Potato,Vegetable,253,30.14,Hyderabad,Telangana,Monsoon (July),Rainy
2023-05-15,Cluster Beans,Vegetable,219,35.9,Jaipur,Rajasthan,Summer (May),Hot
2023-02-03,Okra,Vegetable,269,52.2,Bangalore,Karnataka,Winter (February),Cold
2024-03-08,Capsicum,Vegetable,229,57.17,Jaipur,Rajasthan,Summer (March),Hot | Maha Shivratri
2023-02-01,Strawberry,Fruit,170,105.11,Hyderabad,Telangana,Winter (February),Cold
2024-07-25,Beetroot,Vegetable,116,37.72,Guwahati,Assam,Monsoon (July),Rainy
2023-02-11,Beetroot,Vegetable,316,23.4,Ahmedabad,Gujarat,Winter (February),Cold
2023-02-10,Custard Apple,Fruit,128,98.82,Jaipur,Rajasthan,Winter (February),Cold
2024-06-19,Ginger,Vegetable,143,73.19,Lucknow,Uttar Pradesh,Monsoon (June),Rainy
2024-05-23,Spinach,Vegetable,235,23.54,Chennai,Tamil Nadu,Summer (May),Hot
2024-02-29,Carrot,Vegetable,317,31.5,Chandigarh,Punjab,Winter (February),Cold
2024-09-24,Capsicum,Vegetable,319,45.25,Chennai,Tamil Nadu,Monsoon (September),Rainy
2023-01-23,Beetroot,Vegetable,257,25.26,Chandigarh,Punjab,Winter (January),Cold
2023-04-05,Garlic,Vegetable,143,90.86,Guwahati,Assam,Summer (April),Hot
2023-06-14,Grapes,Fruit,230,115.78,Bangalore,Karnataka,Monsoon (June),Rainy
2024-05-07,Strawberry,Fruit,118,139.51,Hyderabad,Telangana,Summer (May),Hot
2023-08-27,Sapota,Fruit,208,68.78,Mumbai,Maharashtra,Monsoon (August),Rainy
2024-04-09,Cabbage,Vegetable,209,21.58,Shimla,Himachal Pradesh,Summer (April),Hot | Ugadi/Gudi Padwa
2024-11-01,Cauliflower,Vegetable,270,20.01,Bhopal,Madhya Pradesh,Autumn (November),Mild
2023-12-20,French Beans,Vegetable,185,39.85,Guwahati,Assam,Winter (December),Cold
2024-05-30,Orange,Fruit,305,87.72,Bangalore,Karnataka,Summer (May),Hot
2023-08-07,Sweet Potato,Vegetable,279,31.3,Bangalore,Karnataka,Monsoon (August),Rainy
2023-07-31,Carrot,Vegetable,154,43.87,Guwahati,Assam,Monsoon (July),Rainy
2023-05-16,Spinach,Vegetable,235,24.16,Bangalore,Karnataka,Summer (May),Hot
2024-12-02,Mango,Fruit,301,90.35,Ahmedabad,Gujarat,Winter (December),Cold
2023-05-15,Apple,Fruit,209,150.2,Lucknow,Uttar Pradesh,Summer (May),Hot
2024-08-17,French Beans,Vegetable,190,35.23,Patna,Bihar,Monsoon (August),Rainy
2024-12-26,Cluster Beans,Vegetable,108,40.53,Bhopal,Madhya Pradesh,Winter (December),Cold
2023-10-07,Pineapple,Fruit,250,61.53,Kolkata,West Bengal,Autumn (October),Mild
2024-04-08,Ginger,Vegetable,137,100.77,Chennai,Tamil Nadu,Summer (April),Hot
2023-06-02,Brinjal,Vegetable,323,21.68,Bhopal,Madhya Pradesh,Monsoon (June),Rainy
2023-06-02,Bottle Gourd,Vegetable,255,17.34,Bhopal,Madhya Pradesh,Monsoon (June),Rainy
2024-01-27,Orange,Fruit,513,53.48,Ahmedabad,Gujarat,Winter (January),Cold
2023-01-10,Strawberry,Fruit,140,109.3,Chandigarh,Punjab,Winter (January),Cold
2024-11-03,Cluster Beans,Vegetable,192,40.78,Kolkata,West Bengal,Autumn (November),Mild
2024-08-02,Ginger,Vegetable,179,63.14,Lucknow,Uttar Pradesh,Monsoon (August),Rainy
2024-12-19,Custard Apple,Fruit,217,95.76,Mumbai,Maharashtra,Winter (December),Cold
2023-06-28,Sweet Potato,Vegetable,216,30.3,Kolkata,West Bengal,Monsoon (June),Rainy
2023-05-28,Onion,Vegetable,572,43.57,Bangalore,Karnataka,Summer (May),Hot
2024-02-20,Cluster Beans,Vegetable,189,53.25,Mumbai,Maharashtra,Winter (February),Cold
2023-08-20,Watermelon,Fruit,506,21.42,Chennai,Tamil Nadu,Monsoon (August),Rainy
2024-10-07,Litchi,Fruit,150,116.18,Hyderabad,Telangana,Autumn (October),Mild
2023-04-18,Sweet Potato,Vegetable,236,34.76,Delhi,Delhi,Summer (April),Hot
2024-02-06,Okra,Vegetable,185,49.66,Guwahati,Assam,Winter (February),Cold
2023-09-19,Pomegranate,Fruit,266,83.18,Bhopal,Madhya Pradesh,Monsoon (September),Rainy
2024-01-13,Potato,Vegetable,835,16.0,Patna,Bihar,Winter (January),Cold
2023-04-26,Cauliflower,Vegetable,383,29.71,Mumbai,Maharashtra,Summer (April),Hot
2024-06-01,Bottle Gourd,Vegetable,378,22.44,Bangalore,Karnataka,Monsoon (June),Rainy
2023-08-13,Apple,Fruit,278,164.25,Jaipur,Rajasthan,Monsoon (August),Rainy
2023-11-18,Litchi,Fruit,109,101.95,Bhopal,Madhya Pradesh,Autumn (November),Mild
2024-02-20,Guava,Fruit,227,45.06,Jaipur,Rajasthan,Winter (February),Cold
2024-07-21,Cabbage,Vegetable,255,22.78,Kolkata,West Bengal,Monsoon (July),Rainy
2023-03-14,Pomegranate,Fruit,173,148.02,Chandigarh,Punjab,Summer (March),Hot
2023-05-21,Cauliflower,Vegetable,292,26.42,Ahmedabad,Gujarat,Summer (May),Hot
2024-04-14,Orange,Fruit,418,76.67,Bangalore,Karnataka,Summer (April),Hot
2023-02-22,Papaya,Fruit,283,31.95,Kochi,Kerala,Winter (February),Cold
2024-06-19,Guava,Fruit,310,45.21,Delhi,Delhi,Monsoon (June),Rainy
2023-12-28,Apple,Fruit,405,115.21,Kolkata,West Bengal,Winter (December),Cold
2024-06-16,Cucumber,Vegetable,487,20.79,Jaipur,Rajasthan,Monsoon (June),Rainy
2023-05-22,Radish,Vegetable,258,25.66,Mumbai,Maharashtra,Summer (May),Hot
2024-05-18,Beetroot,Vegetable,209,31.55,Ahmedabad,Gujarat,Summer (May),Hot
2024-01-25,Cabbage,Vegetable,332,13.65,Bhopal,Madhya Pradesh,Winter (January),Cold
2024-03-02,Apple,Fruit,289,116.19,Patna,Bihar,Summer (March),Hot
2024-04-26,Beetroot,Vegetable,114,32.66,Shimla,Himachal Pradesh,Summer (April),Hot
2024-10-12,Grapes,Fruit,274,81.09,Bhopal,Madhya Pradesh,Autumn (October),Mild | Dussehra
2024-03-15,Potato,Vegetable,888,24.68,Bangalore,Karnataka,Summer (March),Hot
2024-07-05,Beetroot,Vegetable,202,41.29,Mumbai,Maharashtra,Monsoon (July),Rainy
2024-02-26,Onion,Vegetable,772,28.26,Kolkata,West Bengal,Winter (February),Cold
2023-03-17,Potato,Vegetable,804,22.51,Jaipur,Rajasthan,Summer (March),Hot
2024-05-15,Mango,Fruit,494,54.4,Lucknow,Uttar Pradesh,Summer (May),Hot
2024-11-17,Onion,Vegetable,829,31.21,Hyderabad,Telangana,Autumn (November),Mild
2023-06-02,French Beans,Vegetable,79,56.12,Shimla,Himachal Pradesh,Monsoon (June),Rainy
2023-01-28,Ginger,Vegetable,168,84.55,Jaipur,Rajasthan,Winter (January),Cold
2024-07-26,Ginger,Vegetable,137,79.92,Guwahati,Assam,Monsoon (July),Rainy
2024-04-29,Muskmelon,Fruit,310,24.0,Bhopal,Madhya Pradesh,Summer (April),Hot
2023-06-24,Beetroot,Vegetable,189,39.11,Bangalore,Karnataka,Monsoon (June),Rainy
2023-11-19,Litchi,Fruit,143,113.91,Ahmedabad,Gujarat,Autumn (November),Mild
2024-03-05,French Beans,Vegetable,141,41.29,Bhopal,Madhya Pradesh,Summer (March),Hot
2023-09-07,Custard Apple,Fruit,280,90.77,Mumbai,Maharashtra,Monsoon (September),Rainy | Ganesh Chaturthi
2024-05-18,Capsicum,Vegetable,166,50.95,Lucknow,Uttar Pradesh,Summer (May),Hot
2023-01-30,Cabbage,Vegetable,351,12.91,Patna,Bihar,Winter (January),Cold
2024-06-30,Custard Apple,Fruit,137,98.3,Chandigarh,Punjab,Monsoon (June),Rainy
2024-10-12,Muskmelon,Fruit,291,40.89,Ahmedabad,Gujarat,Autumn (October),Mild | Dussehra
2023-12-06,Cauliflower,Vegetable,344,22.2,Chandigarh,Punjab,Winter (December),Cold
2024-12-29,Cabbage,Vegetable,468,15.34,Kolkata,West Bengal,Winter (December),Cold
2024-08-21,Brinjal,Vegetable,530,29.1,Mumbai,Maharashtra,Monsoon (August),Rainy
2023-07-16,Ginger,Vegetable,177,67.24,Lucknow,Uttar Pradesh,Monsoon (July),Rainy
2024-02-07,Capsicum,Vegetable,129,51.91,Shimla,Himachal Pradesh,Winter (February),Cold
2024-09-06,Custard Apple,Fruit,178,63.89,Lucknow,Uttar Pradesh,Monsoon (September),Rainy
2023-11-25,Cabbage,Vegetable,535,20.06,Mumbai,Maharashtra,Autumn (November),Mild
2024-05-26,Green Chilli,Vegetable,175,40.85,Chandigarh,Punjab,Summer (May),Hot
2024-07-17,Sweet Potato,Vegetable,125,31.83,Shimla,Himachal Pradesh,Monsoon (July),Rainy
2024-08-15,Green Chilli,Vegetable,216,39.28,Jaipur,Rajasthan,Monsoon (August),Rainy | Independence Day
2023-01-01,Papaya,Fruit,283,30.37,Lucknow,Uttar Pradesh,Winter (January),Cold | New Year
2023-01-28,Potato,Vegetable,928,17.11,Lucknow,Uttar Pradesh,Winter (January),Cold
2024-01-27,Litchi,Fruit,187,100.4,Ahmedabad,Gujarat,Winter (January),Cold
2023-12-01,Strawberry,Fruit,131,122.56,Kochi,Kerala,Winter (December),Cold
2023-05-24,Pomegranate,Fruit,181,145.04,Chandigarh,Punjab,Summer (May),Hot
2023-05-24,Pomegranate,Fruit,111,145.04,Shimla,Himachal Pradesh,Summer (May),Hot
2023-12-27,French Beans,Vegetable,230,32.88,Lucknow,Uttar Pradesh,Winter (December),Cold
2024-08-24,Sapota,Fruit,128,50.89,Bhopal,Madhya Pradesh,Monsoon (August),Rainy
2023-06-13,Muskmelon,Fruit,379,28.85,Jaipur,Rajasthan,Monsoon (June),Rainy
2023-04-25,Guava,Fruit,168,38.25,Patna,Bihar,Summer (April),Hot
2023-06-06,Pineapple,Fruit,357,48.11,Hyderabad,Telangana,Monsoon (June),Rainy
2023-08-26,Garlic,Vegetable,127,83.04,Patna,Bihar,Monsoon (August),Rainy
2023-01-27,Corn,Vegetable,192,31.31,Chandigarh,Punjab,Winter (January),Cold
2024-12-29,Radish,Vegetable,351,15.34,Ahmedabad,Gujarat,Winter (December),Cold
2024-09-25,Bitter Gourd,Vegetable,206,36.25,Kochi,Kerala,Monsoon (September),Rainy
2023-12-23,Green Chilli,Vegetable,128,58.79,Bangalore,Karnataka,Winter (December),Cold
2024-08-04,Spinach,Vegetable,155,20.21,Bhopal,Madhya Pradesh,Monsoon (August),Rainy
2024-03-20,Strawberry,Fruit,156,124.58,Chennai,Tamil Nadu,Summer (March),Hot
2024-09-15,Grapes,Fruit,284,108.7,Bangalore,Karnataka,Monsoon (September),Rainy
2024-08-12,Sweet Potato,Vegetable,275,26.49,Ahmedabad,Gujarat,Monsoon (August),Rainy
2024-12-17,Onion,Vegetable,646,23.04,Patna,Bihar,Winter (December),Cold
2024-02-02,Sapota,Fruit,340,42.22,Delhi,Delhi,Winter (February),Cold
2023-01-14,Garlic,Vegetable,320,83.16,Bangalore,Karnataka,Winter (January),Cold | Makar Sankranti
2024-03-05,Radish,Vegetable,215,18.26,Guwahati,Assam,Summer (March),Hot
2023-07-28,Capsicum,Vegetable,170,44.64,Bhopal,Madhya Pradesh,Monsoon (July),Rainy
2023-09-12,Beetroot,Vegetable,138,34.96,Guwahati,Assam,Monsoon (September),Rainy
2023-06-28,Orange,Fruit,250,83.3,Jaipur,Rajasthan,Monsoon (June),Rainy
2024-06-08,Sweet Potato,Vegetable,226,32.98,Hyderabad,Telangana,Monsoon (June),Rainy
2023-03-01,Garlic,Vegetable,208,65.57,Lucknow,Uttar Pradesh,Summer (March),Hot
2023-09-19,Brinjal,Vegetable,204,28.95,Shimla,Himachal Pradesh,Monsoon (September),Rainy
2024-05-18,Cluster Beans,Vegetable,264,35.44,Hyderabad,Telangana,Summer (May),Hot
2024-04-18,Muskmelon,Fruit,400,27.26,Ahmedabad,Gujarat,Summer (April),Hot
2023-03-30,Pineapple,Fruit,269,56.89,Jaipur,Rajasthan,Summer (March),Hot
2024-09-13,Potato,Vegetable,768,31.74,Mumbai,Maharashtra,Monsoon (September),Rainy
2023-03-21,Grapes,Fruit,333,78.03,Kolkata,West Bengal,Summer (March),Hot
2023-09-24,Orange,Fruit,437,86.39,Mumbai,Maharashtra,Monsoon (September),Rainy
2024-05-05,Orange,Fruit,323,63.47,Lucknow,Uttar Pradesh,Summer (May),Hot
2024-02-11,Potato,Vegetable,1055,22.58,Bangalore,Karnataka,Winter (February),Cold
2024-12-15,Green Chilli,Vegetable,101,42.41,Patna,Bihar,Winter (December),Cold
2024-06-26,Brinjal,Vegetable,446,23.04,Kolkata,West Bengal,Monsoon (June),Rainy
2024-07-25,Radish,Vegetable,135,20.35,Bhopal,Madhya Pradesh,Monsoon (July),Rainy
2023-04-24,Potato,Vegetable,538,21.82,Bhopal,Madhya Pradesh,Summer (April),Hot
2024-04-28,Muskmelon,Fruit,418,28.26,Jaipur,Rajasthan,Summer (April),Hot
2024-01-12,Cauliflower,Vegetable,443,22.01,Bangalore,Karnataka,Winter (January),Cold
2024-03-16,Carrot,Vegetable,360,31.52,Jaipur,Rajasthan,Summer (March),Hot
2024-01-10,Guava,Fruit,254,41.82,Chandigarh,Punjab,Winter (January),Cold
